# Radial distribution function (20 data points):
# "Pair separation distance" Kr_-Kr_ Kr_-O Kr_-C Kr_-Cr Kr_-H O-O O-C O-Cr O-H C-C C-Cr C-H Cr-Cr Cr-H H-H
0.32 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.96 0.0 0.0 0.0 0.0 0.0 0.0 11.2631723954 0.0 0.0 2.440354019 0.0 12.201770095 0.0 0.0 0.0 
1.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 51.8698728734 0.0 8.0917001683 0.0 0.0 0.0 0.0 0.0 
2.24 0.0 0.0 0.0 0.0 0.0 4.9173933535 2.1308704532 0.0 2.6635880665 4.6168859819 0.0 4.6168859819 0.0 0.0 5.7711074774 
2.88 0.0 0.0 0.0177240902 0.0 0.2215511275 13.4220654649 1.9387427894 6.4624759646 0.0 1.4002031257 5.6008125026 1.4002031257 0.0 0.0 0.0 
3.52 0.4331295265 0.5757707408 0.6534540947 0.2376196708 1.366313107 2.9990695727 2.1659946914 4.3319893828 0.0 1.3140367795 0.0 2.346494249 18.7719539923 0.0 0.0 
4.16 2.0690176856 0.7858288325 1.8643789052 0.3405258274 1.5323662234 2.8652528201 1.0605414952 3.3626925459 1.5520119442 0.6725385092 2.8022437882 0.6725385092 0.0 3.3626925459 2.5220194094 
4.8 1.4770827442 0.9596179013 1.4842090206 1.1515414815 1.3914459568 3.2297672322 2.6047474622 2.1382255287 2.089629494 0.6064785136 1.9373619184 1.2634969033 0.0 0.0 1.2634969033 
5.44 0.9081748136 0.9428135325 1.2007458525 0.7971756697 1.2082193745 0.838449558 1.4533125671 0.0 1.5517139389 1.023374266 1.5744219477 0.5412075445 0.0 1.9680274347 0.4920068587 
6.08 0.824171436 1.0219399495 1.1848979414 1.1569710539 1.1968666075 0.0 1.2728216037 0.0 1.090989946 0.7564196959 1.2606994932 0.5121591691 0.0 0.1313228639 0.7879371833 
6.72 0.6747748011 1.0703653449 0.9309163387 1.3718767096 0.8819207419 0.0 1.2902173816 0.0 1.1909698907 1.0665797022 2.0643478106 0.8816485441 0.0 3.7631340298 0.8063858635 
7.36 1.0590035106 1.219222341 0.8905350811 0.8987051277 0.8850883833 0.0 1.2908673652 0.0 2.0066367696 0.8390637874 0.8605782435 1.0398653775 0.0 2.1514456087 0.7171485362 
8.0 0.8964272787 1.2182441331 0.9705167599 1.1756853861 0.9393956761 0.0 0.8755575556 0.0 1.2783140312 1.2262475419 0.9105798578 1.2065183116 0.0 0.0 0.7588165482 
8.64 1.2009380534 1.1403137766 1.0258262735 1.3242843993 1.0525096158 0.0 0.7026613492 0.0 0.7807348324 0.8536034168 0.6245878659 0.7937470796 0.0 0.8457960684 1.1711022486 
9.28 0.9161387343 1.1941235754 0.9509494036 1.2679325381 1.0152027417 0.2883416071 0.6403586524 0.0 0.7809251859 1.1189790219 1.0828829244 1.2013232443 0.0 1.2972035032 0.9870026655 
9.92 0.7653356682 1.2526939926 1.1531474995 1.1096607927 0.9747020477 0.2523488961 0.4601862508 0.0 0.6834449269 1.0385325356 0.1184637873 0.7996305645 0.0 0.5923189367 1.2833576961 
10.56 0.8844607426 1.0963370245 1.1063129789 1.310107475 1.0222808328 0.0185580941 0.3659037544 0.0 0.5026150472 0.7213531158 0.6098395906 1.1935431988 0.0 0.0 0.7840794737 
11.2 0.9578493736 1.1674132901 0.9952877027 1.1529337454 1.0294051298 0.6764314216 0.4253818737 0.8579130225 0.6166249849 0.8457592547 0.2013712511 0.5382808443 0.0 0.6970543308 0.7357795714 
11.84 0.8699141545 1.1005238209 0.9674730014 1.0738002844 1.0843277382 0.9743812536 0.6525401729 0.767694321 0.3918439763 0.6376127833 0.0138611475 1.004933191 0.0 0.4158344239 1.3514618776 
12.48 0.9442046529 0.9861945232 0.9305069685 1.1370757252 0.9380874733 0.6644155495 0.6564425629 0.3454960857 0.8781358846 0.6936793633 0.3742874262 0.7641701619 0.0 0.9357185656 0.8109560902 
