# Radial distribution function (100 data points):
# "Pair separation distance" Kr_-Kr_ Kr_-O Kr_-C Kr_-Cr Kr_-H O-O O-C O-Cr O-H C-C C-Cr C-H Cr-Cr Cr-H H-H
5.312 0.0 0.6357832299 2.6173076296 0.0 0.3443825828 0.0 2.3841871119 0.0 0.0 1.6530363976 6.1988864911 0.60266952 0.0 0.0 0.0 
5.44 0.0 1.2124347476 1.7075122696 0.0 1.3134709766 4.196889511 1.2124347476 0.0 0.1894429293 1.0507767813 1.6418387207 0.082091936 0.0 4.9255161622 0.0 
5.568 8.0241809092 0.5786668925 0.8776447869 0.0 0.9403337003 0.0 0.9403337003 0.0 1.0850004234 0.6895780469 0.0 0.3918057085 0.0 4.7016685015 0.0 
5.696 7.6676106752 1.3823817323 0.8386449176 0.0 0.898548126 0.0 2.0735725985 0.0 3.9743474804 1.49758021 0.0 1.1231851575 0.0 0.0 2.246370315 
5.824 7.3342899728 1.3222878557 1.3751793699 1.1459828083 0.2864957021 0.0 1.5867454268 0.0 2.1487177655 1.0313845274 0.2864957021 0.7878631807 0.0 0.0 0.0 
5.952 0.0 0.5064115845 0.8777800798 1.0972250998 1.3715313747 0.0 2.025646338 0.0 0.7912681008 0.6583350599 3.0173690243 0.3428828437 0.0 0.0 0.0 
6.08 0.0 0.7279713286 0.9463627271 1.0515141412 1.3143926766 0.0 1.5166069345 0.0 0.1516606934 0.1051514141 3.1545424237 0.3285981691 0.0 0.0 0.6571963383 
6.208 0.0 1.3965248471 1.2103215341 2.0172025569 1.5129019177 0.0 0.4655082824 0.0 1.8911273971 1.4120417898 0.0 0.3782254794 0.0 0.0 3.1518789952 
6.336 6.1968813796 1.3406714523 1.4523940733 0.9682627156 0.7261970367 0.0 0.8937809682 0.0 0.5586131051 0.5809576293 0.0 0.7261970367 0.0 0.6051641972 0.0 
6.464 0.0 1.2881029729 0.8372669324 1.8605931831 0.2325741479 0.0 1.7711415878 0.0 1.7443061092 0.3721186366 0.2325741479 0.4070047588 0.0 6.9772244368 0.0 
6.592 0.0 0.4128555924 0.9839724952 1.7890409004 0.8945204502 0.0 0.7224972867 0.0 0.6450868631 0.5367122701 5.1434925885 0.6708903376 0.0 6.149828095 2.2363011254 
6.72 0.0 0.7945560403 1.635461183 0.8607690437 0.8607690437 0.0 2.2843486159 0.0 1.6139419569 1.8076149917 0.6455767827 1.0759613046 0.0 3.765864566 0.2689903261 
6.848 0.0 0.9564143323 1.0775601477 0.8288924213 0.8288924213 0.0 0.5260278828 0.0 0.8368625408 1.4920063584 3.3155696854 0.8288924213 0.0 2.5902888167 0.2590288817 
6.976 0.0 2.0276069709 0.639003409 3.195017045 1.3978199572 0.0 1.1981313919 0.0 1.1520494153 1.0383805396 0.9984428266 1.3478978159 0.0 0.0 1.2480535332 
7.104 0.0 0.3554909586 1.2323686566 3.0809216414 0.9627880129 0.0 2.2662548612 0.0 1.9996366423 0.5391612872 1.1553456155 1.5404608207 0.0 0.0 1.6848790226 
7.232 0.0 0.5145283411 0.966169885 0.7432076039 0.9290095048 0.0 1.2863208528 0.0 1.3935142572 0.780367984 2.2296228116 0.5109552276 0.0 0.0 0.4645047524 
7.36 0.0 0.9935755465 0.9328570409 0.7175823392 0.8969779239 0.0 0.8486791127 0.0 3.8294057522 1.3634064444 0.0 1.2557690935 0.0 0.448488962 0.0 
7.488 0.0 1.43984745 0.83191186 0.0 1.3865197666 0.0 1.1798749937 0.0 1.5998305 0.9012378483 0.0 1.0832185677 0.0 4.7661616978 0.0 
7.616 0.0 0.9279047026 0.8041840756 2.0104601889 1.0052300944 0.0 0.9665673985 0.0 1.2565376181 0.6031380567 1.0052300944 0.8376917454 0.0 5.0261504722 1.4659605544 
7.744 0.0 1.3462265521 0.6481831547 1.2963663095 1.2963663095 0.0 0.8974843681 0.0 0.5609277301 1.1991388362 0.9722747321 0.6076717076 0.0 0.0 1.6204578868 
7.872 0.0 1.7370716217 0.9409137951 0.6272758634 0.9409137951 0.0 0.9771027872 0.0 1.1761422439 1.4113706927 0.0 1.2153469854 0.0 0.0 0.0 
8.0 0.0 1.8220921296 0.9110460648 0.6073640432 0.759205054 0.0 0.9110460648 0.0 1.4892099136 1.2754644907 0.1518410108 1.9739331403 0.0 0.0 1.138807581 
8.128 0.0 1.6293751915 0.9414167773 1.1767709717 1.1767709717 0.0 0.3733984814 0.0 1.0183594947 1.2944480688 1.1767709717 1.618060086 0.0 0.0 0.551611393 
8.256 0.0 0.7896222936 0.9694807049 0.0 1.1405655351 0.0 1.2173343692 0.0 2.0563080562 0.9694807049 2.1385603784 0.6059254405 0.0 0.0 0.5346400946 
8.384 0.0 2.5523206811 0.8848045028 1.1060056285 0.6912535178 0.0 0.5423681447 0.0 1.1964003193 0.8571543621 0.0 0.5184401383 0.0 0.0 3.6290809684 
8.512 0.0 0.9904550987 0.6974454653 0.0 1.2071171516 0.0 0.5880827149 0.0 0.5416551321 0.456022035 0.8047447677 1.1735861196 0.0 0.0 0.3353103199 
8.64 0.0 0.9613261976 1.1976522211 1.041436714 0.520718357 0.0 0.4205802114 0.0 0.5257252643 0.9372930426 1.6923346603 1.5946999684 0.0 0.3254489731 0.6508979463 
8.768 0.0 1.7502443429 1.3146279731 1.5168784305 0.7584392153 0.0 0.8459514324 0.0 1.2397564095 1.1376588229 0.6320326794 0.5688294114 0.0 1.5800816984 0.0 
8.896 0.0 1.133493875 0.7858890867 1.9647227167 0.3683855094 0.0 1.0768191813 0.0 0.4250602031 0.8595661886 0.0 0.1534939622 0.0 2.1489154714 1.3814456602 
9.024 3.0550114024 1.1015666114 1.0024256164 1.4320365949 1.312700212 0.0 0.9363316197 0.0 0.0 1.2410983822 1.4320365949 1.1336956376 0.0 3.2817505299 1.3425343077 
9.152 0.0 0.6425817204 1.2994430346 0.0 1.5082820937 0.0 0.6158074821 0.0 0.4685491711 1.1602169952 0.0 0.7541410469 0.0 3.4806509856 1.1602169952 
9.28 0.0 1.3541186928 0.9027457952 2.7082373855 0.3385296732 0.0 0.4687333936 0.0 0.4557130216 0.6770593464 0.7899025708 1.2412754684 0.0 0.0 0.564216122 
9.408 5.6214320999 1.3175231484 0.9661836422 1.3175231484 0.5489679785 0.0 0.5574136397 0.0 1.3935340993 1.4712341824 3.1840142753 1.7841459301 0.0 0.0 0.2744839893 
9.536 0.0 1.0851003374 1.2396449309 2.9922463849 0.9617934809 1.3658605645 0.6411956539 0.0 1.4796822782 1.0472862347 0.0 1.0686594232 0.0 0.0 1.6029891348 
9.664 0.0 1.9209940639 1.2070246035 2.4972922831 1.4567538318 0.0 0.6243230708 0.0 0.4202174515 0.5827015327 0.0 1.664861522 0.0 0.0 0.5202692256 
9.792 5.1891866516 0.6548853346 1.2162156215 0.4054052072 1.5202695268 1.295377585 0.5145527629 0.0 0.6431909537 1.0337832783 0.0 0.6841212871 0.0 3.0405390537 1.5202695268 
9.92 0.0 1.4585013369 1.0665291026 1.1850323362 0.9875269468 0.0 0.2962580841 0.0 0.9115633355 0.8492731743 0.0 0.7159570365 0.0 0.0 2.2219356304 
10.048 0.0 1.0661844373 1.0395298263 1.925055234 1.7325497106 0.0 0.6219409217 0.0 0.3331826366 1.7132991582 0.0962527617 0.4572006181 0.0 0.0 2.1656871382 
10.176 0.0 1.2127864375 1.1636974626 1.501545113 1.1261588348 0.0 0.259882808 0.0 1.0828450334 0.9760043235 0.4692328478 0.539617775 0.0 0.0 0.0 
10.304 0.0 1.2673313932 0.6956241203 1.4644718321 0.7322359161 0.0 0.380199418 0.0 0.6864711713 0.4759533454 0.0 1.8763545349 0.0 0.0 1.6017660664 
10.432 0.0 0.8242816151 1.1430038395 1.0715660996 1.0715660996 0.0 0.329712646 0.0 0.7212464132 0.7858151397 0.0 1.0269175121 0.0 0.0 0.6697288122 
10.56 0.0 1.0457464943 1.0457464943 0.3485821648 1.2200375766 0.0 0.5228732471 0.0 0.201105095 0.8191680872 0.0 1.5468333561 0.0 0.0 1.4161150443 
10.688 2.1778111116 0.7067415867 1.2590470489 1.0208489586 1.0208489586 0.0 0.0196317107 0.0 0.8343477065 0.5444527779 0.7656367189 0.5529598526 0.0 0.0 0.0 
10.816 0.0 1.4569055372 1.129740785 1.9936602088 1.4121759812 0.0884760448 0.575094291 0.0 0.0958490485 0.9636024342 2.1597985595 1.0175973982 0.0 0.0 0.3115094076 
10.944 0.0 1.572817722 1.0385590037 0.973649066 0.7302367995 0.9506041177 0.262136287 0.0 0.74896082 0.4219145953 0.0811374222 0.6288150218 0.0 0.0 0.6085306662 
11.072 4.0587405908 0.8049185066 1.173229702 0.6341782173 1.0305396031 0.0 0.2378168315 0.0 0.2744040363 0.8402861379 0.0 0.2576349008 0.0 0.0 0.8918131181 
11.2 0.0 1.5732514012 0.9296485553 0.9296485553 0.8521778423 0.1650263708 0.5542135618 0.3575571366 1.1620606941 1.053601696 0.0 0.4648242776 0.0 0.3873535647 0.6778687382 
11.328 0.0 1.188376455 0.7572987213 1.2116779541 0.5301091049 0.8872493895 0.6815688492 3.8447473545 0.6990449735 1.0753641843 0.9087584656 0.567974041 0.0 0.9466234017 0.4733117008 
11.456 0.0 1.2986714457 1.0958964305 0.5923764489 0.5923764489 1.3407336788 0.375931208 0.0 0.2135972773 0.8145176173 0.0 0.7589823252 0.0 2.0362940432 1.0181470216 
11.584 0.0 0.802187607 1.0138760033 1.4483942904 1.0862957178 1.3884016275 0.1169856927 0.6684896725 0.2924642317 0.4345182871 0.0 1.0500858606 0.0 1.2673450041 1.2673450041 
11.712 0.0 1.2425199471 0.9068215755 1.4169087116 1.1335269693 0.0 0.6212599736 3.2697893346 0.4904684002 0.4675798748 0.0 0.9387020215 0.0 0.8855679448 1.2397951227 
11.84 0.0 1.4077685705 0.9982358954 0.8318632462 1.3864387436 0.1476680319 1.0558264278 0.0 0.2799539771 1.1230153823 0.0 1.5597435866 0.0 0.0 1.4730911651 
11.968 0.0 1.3151891357 1.0584141139 1.3569411717 0.814164703 1.6620522044 0.7202226219 0.0 0.5088529394 0.7734564679 0.0 0.7123941151 0.0 0.0 0.8480882323 
12.096 0.0 1.042263505 1.0095650421 1.5940500665 0.7970250333 1.6270629377 0.7203880108 0.0 0.3831851121 0.3852287661 0.0664187528 0.7804203451 0.0 0.0 1.9095391422 
12.224 1.6648980308 0.7804209519 1.0405612693 1.0405612693 1.2356665073 0.7619494501 0.7053804758 0.0 0.8254452376 0.7413999044 0.4552455553 0.5202806346 0.0 0.1625876983 0.6503507933 
12.352 0.0 0.8231250185 0.7388526951 0.7643303743 0.89171877 0.2713598962 0.661439747 0.0 0.5144531365 0.4968147433 0.2547767914 0.7006361764 0.0 0.9554129678 0.6369419786 
12.48 0.0 1.0367063199 0.8984788106 1.4974646843 0.4367605329 1.3955661999 0.4751570633 0.1439869889 0.6119447027 0.8360844488 0.2495774474 0.7175351612 0.0 2.02781676 0.5459506662 
12.608 0.0 1.2414886946 0.9536890427 0.9781426079 0.8558747819 0.1302260869 0.8605773906 1.5518608683 1.2697043468 1.0025961731 0.122267826 0.9170086949 0.0 1.5283478249 1.3755130424 
12.736 0.0 0.7189353108 0.9106513937 0.4792902072 0.7788465867 0.7657299168 0.5806785203 0.0 1.140618522 0.3954144209 0.7788465867 0.9436025954 0.0 0.0 0.8237800436 
